,MQC1LE,MQC2LE,MQLC3LE,MQLC7LE,MQLB1LE,MQLB4LE,MQLA2LE,MQLA5LE,MQD3E1,MQEAE4,MQD3E4,MQEAE6,MQTATNE1,MQTATNE2,MQEAE8,MQEAE10,MQEAE11,MQR2NE1,MQFRNE3,MQDRNE5,MQEAE13,MQD3E12,MQEAE16,MQD3E14,MQEAE18,MQTANFE1,MQD3E16,MQEAE20,MQD3E18,MQEAE22,MQEAE23,MQI6E,MQI5E,MQI4E,MQX2RE,MQM2E,MQM7E,MQEAE25,MQD3E21,MQEAE27,MQD3E23,MQEAE29,MQEAE30,MQTAFOE1,MQTAFOE2,MQEAE32,MQEAE33,MQD3E29,MQEAE35,MQR2ORE,MQDROE5,MQD3E31,MQEAE39,MQD3E33,MQEAE41,MQTAOTE1,MQTAOTE2,MQEAE44,MQEAE45,MQD3E40,MQLA2RE,MQLB8RE,MQLB1RE,MQLC7RE,MQLC3RE,MQC2RE,MQC1RE
HER_2024_06_17_17_50_17.sdds,0.0,0.021829799361,,-0.013114992088,-0.023591403529,,,0.019058355961,0.152379758989,-0.194977776888,0.05684227877,,,-0.062458705565,,,-0.443436270051,,,,,,-0.46110299998,,,-0.385623474677,,,,,,-0.400917515514,-0.458257611202,-0.455430085415,0.450806698424,,-0.364470822835,,,,0.215064787527,0.083838347822,0.189390831271,-0.016583937607,0.089610845205,,,,,,,0.168863893444,,,,,,0.016267343769,,,,,0.398465221544,0.409759150831,,0.393229125224,0.418417134541
HER_2024_06_17_17_51_02.sdds,0.0,0.01660318037,-0.17030542581,-0.015392938456,-0.0188813225466,,,0.012536827943,0.14722922039,-0.167542808761,0.0172986393783,-0.053933625042,-0.0826590062591,-0.065596478309,0.014504641464,-0.079998736428,,,,0.017046378372,-0.08841233487,0.486153226461,,-0.412634090216,,-0.431292118729,0.465818554425,,,-0.338202356753,,-0.415405739676,-0.458786252994,-0.485312457953,,-0.436360537408,-0.431038936056,,-0.001311351059,0.499995810313,0.147284215307,0.044762827536,0.142616720107,0.092191415934,0.091441621647,0.117119805821,,,,,,0.158999341329,,,0.147413925188,0.066098380694,0.185089804207,0.0441330572704,,,-0.271760297021,,0.404086858835,0.412634425894,0.340752984068,0.399641668867,0.414858892824
HER_2024_06_17_17_51_31.sdds,0.0,0.021796369841,-0.167696019489,-0.0137536035587,-0.015293033288,,,0.016102065161,0.078044652796,-0.164277813283,0.009440553389,0.064243262982,-0.03004384199,-0.0442702472112,-0.0632586820899,-0.034004487545,-0.379857684576,,,-0.0169067132212,-0.090247891145,-0.47834641999,-0.486580037844,-0.43048797314,,-0.436764561604,-0.498995011677,,,-0.359566711918,0.291248751918,-0.4135808689,-0.467698661737,-0.473253473295,-0.489055572732,-0.418035181128,-0.38660449538,,-0.014319663125,0.487625681445,,0.039153040764,0.194274759587,0.038647197078,0.0849363223257,-0.012923922221,0.364206779378,0.074957667167,,,0.114648554191,0.158719044494,,,0.176366542221,-0.0128002117221,0.227206411592,0.043115997437,,0.43390820558,-0.338987383825,,0.415166636566,0.415585479423,0.340553203635,0.406242296738,0.417587627594
HER_2024_06_17_17_52_05.sdds,0.0,0.015450389234,-0.138865840245,-0.00505613853,-0.00856145109,,,0.0315142824678,0.0897027426,-0.161254041341,0.014466414117,-0.006408725225,-0.142237915147,-0.040088308254,-0.091054440458,-0.0322436936396,-0.340356827661,,-0.119908891205,0.008140907306,-0.127843446766,-0.497647195671,-0.481159521323,-0.445709534604,0.230088710957,-0.419954143439,-0.493268408967,,,-0.360775046072,,-0.422925437916,-0.468358912347,-0.473164122346,-0.429930670885,-0.459491224009,-0.413052225229,,0.042121639958,0.460299156738,,0.06618600379,0.180594788886,0.055321501832,0.106146080549,0.0519018134279,0.436243718933,0.095326388889,,,,0.148075069369,,-0.0381515405108,0.142096450884,0.055911488734,0.183451634577,0.056405963507,,,-0.290921390306,,0.420131625711,0.425740451123,0.33856065955,0.414159478475,0.422263893818
HER_2024_06_17_17_52_33.sdds,0.0,0.0094889828806,-0.110011638647,-0.0078809905076,-0.0188492730756,,,0.0147550094124,0.0843604301234,-0.169011222785,0.0107514794644,-0.0126514975966,-0.0233953767226,-0.0421506556616,-0.0428643425826,-0.0662519819876,-0.458093175986,-0.174063814531,,0.0129174359284,-0.0700602770126,-0.494013880015,-0.481648460305,0.0252612503014,-0.0452598809392,-0.430550670791,-0.490093808165,,,-0.350648533573,,-0.428944351948,-0.469191901839,-0.473679578156,-0.420688858565,-0.416213113526,-0.390765965841,0.0186420310674,-0.0135558867966,0.456757305311,0.0653544751804,0.0461230524943,0.153828214627,0.0397023546981,0.0599884682334,0.0311890911244,0.415589910294,0.0521524591704,,,0.0656056180524,0.137162161735,0.0843976468044,-0.0640108862496,0.126384940037,0.0208474635824,0.177477157693,0.0254087722824,0.0637598427424,0.463665384626,-0.267210971679,,0.416613309773,0.417464049508,0.377131866311,0.405257558941,0.421643965008
HER_2024_06_17_17_53_03.sdds,0.0,0.014949846717,-0.212840288314,-0.004288710547,-0.001483426926,0.059606828168,-0.046681281198,-0.006774545078,0.0132625158838,-0.197687116455,0.038903685154,0.0035245255165,-0.036218796086,-0.040304482245,-0.081019748645,-0.04609076469,-0.418507965808,-0.123743330428,-0.159055660236,0.020254837152,-0.076672812991,0.450493639314,-0.44035021225,-0.440893803559,0.413446999276,-0.444629433082,0.486041717661,,,-0.416505949325,0.200565574076,-0.445674191104,-0.476383914321,-0.467852398848,-0.428140505425,-0.471250970454,-0.391815299239,,0.014676189259,0.357671465854,0.133856182909,-0.007518514343,0.0120354642956,-0.015562932986,0.06525148419,0.038181213501,0.309391817237,0.050423075159,,,0.098833326766,0.136289803827,0.0987103397251,0.001450595966,0.113162757319,0.044005196961,0.1489291427,0.016470010264,-0.006877548177,0.361279515719,-0.299951613998,0.41489655455,0.419652772377,0.427537785429,0.402407522256,0.425852592651,0.429241770317
HER_2024_06_17_17_53_37.sdds,0.0,0.007634331501,-0.112371234215,-0.000231592619,-0.01197330509,-0.141233033401,,0.003147829403,0.026014158229,-0.249195808807,0.0107060796423,0.029859112798,0.037291923491,-0.042927161754,-0.017942338713,-0.058327433454,-0.441346645544,-0.059089475945,-0.11836510725,0.010599085392,-0.062955679789,-0.485034381442,0.42098852381,-0.436448838417,-0.487221747011,-0.43618172819,0.377090485756,,,-0.460315527406,0.222120851516,-0.46070522948,-0.468686917487,0.488171522049,-0.448330661186,-0.413258743467,-0.454224147128,,-0.09756487369,0.464753050663,0.062495799441,0.047882551068,0.162018657587,0.028851556906,0.065184566507,0.00719766145,0.321313921804,0.0332873547574,,,0.042965208916,0.12263912954,-0.215195024025,-0.0019827041556,0.069598782043,-0.133332580913,0.153166741203,-0.0443941191256,0.0416593984242,0.470269360093,-0.481488552983,0.17873420426,0.425493500763,0.417573459415,0.417317473141,0.399423986142,0.421918121725
