,MQC1LE,MQC1RE,MQC2LE,MQC2RE,MQD3E1,MQD3E12,MQD3E14,MQD3E16,MQD3E18,MQD3E21,MQD3E23,MQD3E29,MQD3E31,MQD3E33,MQD3E4,MQD3E40,MQD3E8,MQDRNE5,MQDROE5,MQEAE10,MQEAE11,MQEAE13,MQEAE16,MQEAE18,MQEAE20,MQEAE22,MQEAE23,MQEAE25,MQEAE27,MQEAE29,MQEAE30,MQEAE32,MQEAE35,MQEAE37,MQEAE39,MQEAE4,MQEAE41,MQEAE44,MQEAE45,MQEAE6,MQEAE8,MQFRNE3,MQI4E,MQI5E,MQI6E,MQLA2LE,MQLA2RE,MQLA5LE,MQLB1LE,MQLB1RE,MQLB4LE,MQLB8RE,MQLC3LE,MQLC3RE,MQLC7LE,MQLC7RE,MQM2E,MQM7E,MQR2NE1,MQR2ORE,MQTAFOE1,MQTAFOE2,MQTANFE1,MQTAOTE1,MQTAOTE2,MQTATNE1,MQTATNE2,MQX2RE
HER_2024_06_17_17_50_17.sdds,0.0,-0.15403359202,-0.0258286153358,-0.127648783904,0.441211416532,-0.0894511525903,-0.394391737299,-0.0674855893666,-0.372399867482,-0.441266902548,0.26916775267,0.0319026085988,-0.288789033169,0.414547270909,0.0926307793944,0.120575162854,0.115076366993,-0.256852278145,-0.0038744921982,0.0290909094864,-0.342023934582,0.0609261609606,-0.178051781876,-0.479708271391,-0.155558405451,-0.45832032733,0.190765079801,-0.355009775383,0.351813885976,0.0624037653771,0.1256749303,0.467155113067,-0.18417412531,-0.200414052698,0.498250010495,0.299527778867,0.210484574519,-0.382999014472,0.263850497548,0.0059302609274,0.320699825683,0.382198674186,-0.0894476261768,-0.0606146076479,0.175583730036,-0.112189554448,-0.126102492932,-0.156614007094,0.49383526987,0.39961375616,-0.106978682884,-0.128233051391,-0.0514887885972,-0.108658824568,-0.456021517487,0.309560939585,0.0896449767414,-0.397267627429,-0.387554985835,0.140428221245,-0.26323561524,-0.211346442718,0.130047728123,-0.107360613653,-0.0558052411736,-0.405935878458,-0.350391981248,0.187927168473
HER_2024_06_17_17_51_02.sdds,0.0,-0.154010337696,-0.0258327190464,-0.127621156624,0.441192619735,-0.0894659100238,-0.394385643585,-0.0674965873908,-0.372394832371,-0.441254177897,0.269175691155,0.0319092122138,-0.288780624262,0.414536120325,0.0926411752032,0.120589161273,0.115088172327,-0.256845688549,-0.0038726440263,0.0290951729002,-0.342020085639,0.0609341277817,-0.178036111765,-0.479692962092,-0.15553925187,-0.458307440012,0.190778221979,-0.355002950503,0.351811377759,0.062412875713,0.125688098259,0.467135198762,-0.184155763539,-0.200397895822,0.498271587664,0.299530941845,0.210497948717,-0.382989973878,0.263860047849,0.0059310620139,0.320700122289,0.382190080887,-0.0894622641238,-0.0606241317181,0.175597211719,-0.112163533157,-0.126074641154,-0.156595562002,0.493853798813,0.399609290289,-0.106951732295,-0.128205548758,-0.0514972415542,-0.108673365166,-0.456009906676,0.309569417722,0.0896562122412,-0.397258781687,-0.3875493531,0.140442520103,-0.26322612955,-0.211332054088,0.130060185768,-0.107375425715,-0.0558113471048,-0.405929384144,-0.35038850301,0.187940617783
HER_2024_06_17_17_51_31.sdds,0.0,-0.154078473918,-0.0258369588904,-0.127684771518,0.441173562474,-0.0894811520972,-0.394471932847,-0.0675079508862,-0.372482177677,-0.441333679343,0.269184127411,0.031916059374,-0.288864312989,0.41452494211,0.0926519771318,0.120603711957,0.115100452231,-0.256931205029,-0.0038707234986,0.0290995983288,-0.342108596258,0.060942396295,-0.17811212516,-0.479769856768,-0.155611642029,-0.458386812965,0.190791952884,-0.355088401514,0.351809093614,0.0624223320637,0.125701795875,0.467114978907,-0.184229003664,-0.200473434581,0.49820116491,0.299534480995,0.210511939574,-0.383073184433,0.263870143088,0.0059318967182,0.320700721038,0.38218153934,-0.0894773833942,-0.0606339739882,0.175611277076,-0.112228795628,-0.126138023353,-0.156668684719,0.493780202103,0.399605003225,-0.107016032485,-0.128269292889,-0.0515059766652,-0.108688371527,-0.456090595853,0.30957843287,0.0896678818018,-0.397342221401,-0.387636106518,0.140457398074,-0.263308662158,-0.211409437872,0.130073149848,-0.107390713195,-0.0558176516672,-0.406015282154,-0.350477415474,0.187954664965
HER_2024_06_17_17_52_05.sdds,0.0,-0.154101971514,-0.025841329559,-0.127703611157,0.441153772785,-0.089496865299,-0.394513892631,-0.067519663698,-0.372525248501,-0.441368606765,0.269192712004,0.0319231101877,-0.288903712395,0.414513281008,0.092663078893,0.120618670867,0.115113067804,-0.256972527506,-0.003868743077,0.029104150073,-0.342152903859,0.0609509000447,-0.178143726809,-0.479802065564,-0.155639523547,-0.458421587921,0.1908060305,-0.355129543896,0.351806603751,0.0624320608793,0.125715869855,0.467094000384,-0.184257734778,-0.200504522708,0.49817562887,0.299538002085,0.210526277522,-0.383111986465,0.263880442944,0.005932752485,0.320701204777,0.38217259043,-0.089492969214,-0.060644117117,0.175625707029,-0.112249350578,-0.126156623406,-0.156697322422,0.493751404197,0.399600448274,-0.107035596828,-0.128288265213,-0.051514980145,-0.108703838411,-0.45612673073,0.309587610423,0.089679881685,-0.397381246339,-0.387678552097,0.140472683774,-0.263346897565,-0.211442417124,0.130086465714,-0.107406471811,-0.055824146089,-0.406056826822,-0.35052212736,0.187969069599
HER_2024_06_17_17_52_33.sdds,0.0,-0.154080931222,-0.025845829679,-0.127677779592,0.441179014372,-0.089467837351,-0.394511574614,-0.067486517043,-0.372524100338,-0.441359009739,0.269201420528,0.031930363221,-0.288898897451,0.414501111209,0.092674475057,0.120634029386,0.115126010791,-0.256969734628,-0.003866702469,0.029108827273,-0.342153069524,0.060959635314,-0.178131013159,-0.479789632564,-0.155622996603,-0.45841180952,0.19082043911,-0.355126438265,0.351803880704,0.062442058491,0.12573031113,0.46711800599,-0.184242051623,-0.200491252463,0.498194933619,0.299541478705,0.210540945059,-0.383106435804,0.263890924841,0.005933629631,0.320701546167,0.382163205222,-0.089463810359,-0.060654558877,0.175640487894,-0.112225304257,-0.126130545684,-0.156681575292,0.493767361495,0.399595598472,-0.10701053195,-0.128262569942,-0.051524250439,-0.108674542564,-0.456118355329,0.309596923319,0.089692205563,-0.397375910618,-0.387676742252,0.140488366117,-0.263340914541,-0.211431081773,0.130100123415,-0.107377477217,-0.055830828515,-0.406054068578,-0.350522698153,0.187983816017
HER_2024_06_17_17_53_03.sdds,0.0,-0.154151059141,-0.025850464704,-0.127742966362,0.441112481609,-0.089529709227,-0.394555905791,-0.067544144864,-0.372569626909,-0.441441514069,0.269210664271,0.031937861316,-0.288940609946,0.414488975685,0.092686282166,0.120649948637,0.115139436698,-0.257013523129,-0.003864588808,0.029113667459,-0.34219993615,0.060968674637,-0.17816456396,-0.47986929253,-0.155697795833,-0.458494176334,0.190835455775,-0.355169939255,0.351801434972,0.062452405368,0.125745291862,0.467050234361,-0.184317758649,-0.20056947081,0.498122349494,0.299545376079,0.21055625211,-0.383147429739,0.263901985885,0.005934540736,0.320702238813,0.382153932472,-0.089525544274,-0.060665315433,0.175655869611,-0.112292316441,-0.12619547785,-0.156757178786,0.493691298076,0.399590985514,-0.107076492181,-0.128327897657,-0.051533799972,-0.108736145717,-0.456202164406,0.30960681403,0.089704969443,-0.397417132584,-0.387721594541,0.140504638768,-0.263381416987,-0.211466057239,0.130114297814,-0.107439394153,-0.05583770591,-0.406097952781,-0.350569986261,0.187999179411
HER_2024_06_17_17_53_37.sdds,0.0,-0.154176643871,-0.025855228963,-0.12776347697,0.441090980737,-0.089546836446,-0.3946015652,-0.06755691096,-0.372616505396,-0.44143384872,0.26922002483,0.031945558896,-0.288983517487,0.414476330034,0.092698377922,0.120666261933,0.115153183185,-0.257058556212,-0.003862415788,0.029118630839,-0.342248176247,0.060977941727,-0.178199037454,-0.479904303993,-0.155683042506,-0.458486305029,0.190850796128,-0.355214720504,0.351798751737,0.062463017218,0.125760633478,0.467027449933,-0.184303867521,-0.200558121372,0.498094611191,0.299549222485,0.210571881165,-0.383189644219,0.263913221762,0.00593547183,0.320702783868,0.382144220649,-0.089542530141,-0.060676368792,0.175671593673,-0.112314723114,-0.126215727094,-0.156743252203,0.493659995213,0.39958607499,-0.107097819106,-0.128348552478,-0.051543614521,-0.10875298205,-0.45619578051,0.309616835166,0.089718052094,-0.397459591455,-0.387767785916,0.1405213015,-0.263423069278,-0.211502003902,0.130128807827,-0.107456553941,-0.055844769464,-0.406143158926,-0.350618666148,0.188014877101
