,MQC1LE,MQC1RE,MQC2LE,MQC2RE,MQD3E1,MQD3E12,MQD3E14,MQD3E16,MQD3E18,MQD3E21,MQD3E23,MQD3E29,MQD3E31,MQD3E33,MQD3E4,MQD3E40,MQD3E8,MQDRNE5,MQDROE5,MQEAE10,MQEAE11,MQEAE13,MQEAE16,MQEAE18,MQEAE20,MQEAE22,MQEAE23,MQEAE25,MQEAE27,MQEAE29,MQEAE30,MQEAE32,MQEAE35,MQEAE37,MQEAE39,MQEAE4,MQEAE41,MQEAE44,MQEAE45,MQEAE6,MQEAE8,MQFRNE3,MQI4E,MQI5E,MQI6E,MQLA2LE,MQLA2RE,MQLA5LE,MQLB1LE,MQLB1RE,MQLB4LE,MQLB8RE,MQLC3LE,MQLC3RE,MQLC7LE,MQLC7RE,MQM2E,MQM7E,MQR2NE1,MQR2ORE,MQTAFOE1,MQTAFOE2,MQTANFE1,MQTAOTE1,MQTAOTE2,MQTATNE1,MQTATNE2,MQX2RE
HER_2024_06_17_17_50_17.sdds,,,0.0,,-0.313654837078,-0.23124402779,-0.474128859625,0.128278860491,-0.1256186643,-0.358855442029,0.400866060791,0.477277914089,-0.0842037813069,-0.334869449973,0.422634432214,-0.278544071772,-0.233511125346,0.0806968146782,0.35665585731,-0.160614224784,0.233420428163,-0.281324099889,-0.157538067245,-0.403224344781,0.202060065789,-0.0506851611401,0.337576651609,-0.430349985972,0.330060689148,0.083857478161,0.449193631576,0.0235448894904,0.164100182527,-0.159107588408,-0.406675891894,-0.264445091439,0.353677062162,0.296197537564,-0.328325465714,0.493724062803,0.0914471714414,-0.368263227754,-0.044330718081,-0.005632597571,0.102739757406,-0.280371398118,0.441787625765,-0.268527006614,-4.34377280002e-05,-0.15256851389,-0.261763989141,0.210078054335,-0.031950029239,-0.134798398545,0.0004674229993,-0.153034750709,0.447676352084,0.226412801818,-0.219359974816,-0.16853019308,-0.01650396522,0.123394810273,0.159835453612,0.258078762994,0.391352612662,0.049069613503,0.168110059716,0.036512499229
HER_2024_06_17_17_51_02.sdds,,,0.0,,-0.313807437943,-0.231391645318,-0.474230663935,0.128332602327,-0.125703919471,-0.359001638805,0.400845851353,0.477210305318,-0.084259865629,-0.335019683169,0.422597957487,-0.278693546946,-0.233659976942,0.080734345492,0.356672018508,-0.160722646681,0.23348907645,-0.281476041269,-0.157643787962,-0.403367265686,0.202127557848,-0.0507263144,0.337604795022,-0.430473788143,0.330083435253,0.083899157165,0.449137868336,0.023553848933,0.164165213768,-0.159211408847,-0.406806119632,-0.264593520301,0.353695892057,0.296238052512,-0.328475695514,0.493640860989,0.091496896235,-0.368408918286,-0.044367361426,-0.005634211345,0.102794162144,-0.280523168298,0.441742889327,-0.268676479037,-4.34393950002e-05,-0.152669237081,-0.26191172613,0.210145143575,-0.031980521765,-0.134888058546,0.000467664097,-0.153135665585,0.447625666428,0.22647521149,-0.21950296214,-0.168640351449,-0.016511850431,0.123447701489,0.159901306339,0.258137063079,0.391338477949,0.049098760413,0.168176131467,0.036536734076
HER_2024_06_17_17_51_31.sdds,,,0.0,,-0.313968980862,-0.231526490172,-0.474334724691,0.128402685745,-0.125790924603,-0.35915845458,0.400833507106,0.477139907873,-0.0843167420984,-0.335168587299,0.422568567583,-0.278839550051,-0.23379635981,0.0807897947546,0.356682501809,-0.160834673326,0.233555996503,-0.281624580268,-0.157752884897,-0.403505128927,0.202201240249,-0.0507601130114,0.337627790657,-0.430599101645,0.330117312368,0.0839591909646,0.449079873923,0.0235819798976,0.164238423919,-0.159318339989,-0.406938099997,-0.264748723529,0.353708956104,0.296290252594,-0.328624777657,0.493564969445,0.0915453108136,-0.368554998851,-0.0443847569824,-0.0056358843453,0.102858910222,-0.280671655936,0.441696381691,-0.268832987407,-4.34620667003e-05,-0.152772904907,-0.262066617468,0.210218339908,-0.0319911543394,-0.134980400254,0.0004679366706,-0.153239701356,0.447572875424,0.226552692942,-0.219633141963,-0.168754019163,-0.0165198493991,0.123516866253,0.15997544964,0.258198827768,0.391332727138,0.0491277926594,0.168250533632,0.0365603429942
HER_2024_06_17_17_52_05.sdds,,,0.0,,-0.314132273368,-0.231678954537,-0.474455986618,0.128469950796,-0.125880563877,-0.359319156972,0.40079685083,0.477051993672,-0.0843746581518,-0.335339245487,0.422514156605,-0.279005290745,-0.233950376293,0.080833781629,0.356677513144,-0.160950519059,0.233612978027,-0.281792939141,-0.15786550904,-0.403657195953,0.202267403079,-0.0507936820723,0.337636335306,-0.430740312147,0.330128684707,0.084007886472,0.449012437801,0.02359881222,0.164306194641,-0.159429048081,-0.407095006263,-0.264902562483,0.353707070208,0.296320852562,-0.328795312232,0.49346346276,0.091602149014,-0.368724778672,-0.044414405721,-0.005637432092,0.102910275858,-0.280840241846,0.441641224681,-0.2689881459,-4.34598410003e-05,-0.152880080846,-0.262229913966,0.210284027141,-0.032013333878,-0.135075631044,0.0004683199652,-0.153347116103,0.447511155218,0.226603541481,-0.219780507404,-0.168871614791,-0.016528534162,0.123582817119,0.160044794608,0.258250089108,0.391302980842,0.049166539702,0.168319929486,0.036582930736
HER_2024_06_17_17_52_33.sdds,,,0.0,,-0.314318600465,-0.231846872454,-0.474599508377,0.128521521115,-0.125981392028,-0.359504208431,0.400738159056,0.47694154086,-0.084441909643,-0.335516867274,0.422436616393,-0.279182122629,-0.234112563978,0.08087602373,0.356652391002,-0.161078754097,0.233649366051,-0.281972310244,-0.157990373123,-0.403829444877,0.202315069621,-0.050827006467,0.337625207614,-0.430903111736,0.330120643319,0.084055092016,0.448912501961,0.023614779015,0.164357309294,-0.159543682385,-0.407262416286,-0.26508484174,0.353684677169,0.296333107354,-0.328979215247,0.493338632362,0.091644515757,-0.368903152539,-0.044453446479,-0.005639175439,0.102958229227,-0.281019612213,0.441554284254,-0.269171985834,-4.34791490003e-05,-0.152999088218,-0.262401925532,0.210336941425,-0.032044756874,-0.1351819613,0.00046863528,-0.153466498728,0.447417235021,0.226650611157,-0.219943487915,-0.169001612464,-0.016545835604,0.123633171055,0.160096816309,0.258285929447,0.391251882154,0.04918361775,0.168372109657,0.03660469395
HER_2024_06_17_17_53_03.sdds,,,0.0,,-0.314513002162,-0.232007322943,-0.474763418662,0.128573769101,-0.126073194676,-0.359698683778,0.400660732075,0.476811135483,-0.0844984979925,-0.335712521415,0.42233941421,-0.279367557415,-0.234282094813,0.0809214039425,0.356609906101,-0.161199202792,0.233682863376,-0.282160860662,-0.158107509011,-0.404022134872,0.202362092122,-0.0508607108835,0.337597321541,-0.431086493944,0.330095771193,0.0841056879148,0.448791782584,0.0236299744595,0.164407481729,-0.159666518538,-0.407449332628,-0.265261889164,0.353645225602,0.296328774301,-0.329170718379,0.493193305813,0.0916853654485,-0.369101388364,-0.0444817823214,-0.0056411903704,0.103008466459,-0.28120777642,0.441447095881,-0.269350416271,-4.35474500002e-05,-0.153109986528,-0.262578242332,0.210377449517,-0.0320652838312,-0.135279548347,0.0004689270865,-0.153577744831,0.447302747947,0.226686568937,-0.220101865844,-0.169124120549,-0.0165514983738,0.123684387307,0.160148118934,0.258308697753,0.391181874341,0.0492153708765,0.16842381104,0.0366263765458
HER_2024_06_17_17_53_37.sdds,,,0.0,,-0.314724547774,-0.232181574126,-0.474954372299,0.128617352794,-0.126167567479,-0.359913649274,0.400553684343,0.476649678087,-0.0845564282675,-0.335925654014,0.422212133183,-0.279562003562,-0.234459282717,0.080957945098,0.356538966986,-0.16132375745,0.233695743391,-0.282358607544,-0.158228143155,-0.404235825534,0.202389536129,-0.0508954949862,0.337541472816,-0.43129555497,0.330043382059,0.084148020387,0.448644859747,0.023645608291,0.164445790059,-0.159785230807,-0.407661560976,-0.265455226835,0.353577674396,0.296304047123,-0.329382142402,0.493020759903,0.091725478018,-0.369320140377,-0.044510839081,-0.005643090658,0.103050006093,-0.281405403393,0.441309344347,-0.269544970173,-4.37000680001e-05,-0.153224721574,-0.26277091335,0.210404315241,-0.032086239848,-0.135380219108,0.0004692063618,-0.153692804232,0.447157251023,0.226702661052,-0.220266857239,-0.16925086496,-0.016557148341,0.123726700614,0.160187507072,0.258310079219,0.391082366669,0.04923910192,0.168463860811,0.036647628108
