@ TYPE       %05s      "TWISS"
@ SEQUENCE   %05s      "SuperKEKB-HER"
@ PARTICLE   %05s      "ELECTRON"
@ OpticsFile %s       optics$file
@ PC         %le               7.0072900
@ PBUNCH     %le       4.010087045470E10
@ EX         %le       4.515219663690E-9
@ EY         %le       7.05100852702E-15
@ ALFA       %le       4.480779273154E-4
@ Q1         %le              45.5660791
@ Q2         %le              43.6154787
@ DATETIME   %08s     "06/19/2025 14:28:02"
* NAME                TYPENAME                             S                 L              BETX              BETY              ALFX              ALFY               MUX               MUY                EX               EPX                DX                DY               DPX               DPY                 X                PX                 Y                PY               K0L               K1L               K2L          DeltaMUX          DeltaMUY
$ %s                  %s                                 %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le
  ESLE50              SOL                           .0500000          .0000000          .4063077          .1118428         -.1248283         -.6172826          .0197885          .0880365 -7.79712583897E-7 4.021894607779E-6 -6.26367375567E-6 1.023853098767E-5 8.76837509633E-10 1.255002686823E-7 -3.28828422632E-6 -1.31487247363E-4          .0000000          .0000000          .0000000          .0197885          .0880365
  ECSLE55             MULT                          .0500000          .0100000          .4063077          .1118428         -.1248283         -.6172826          .0197885          .0880365 -7.79712583897E-7 4.021894607779E-6 -6.26367375567E-6 1.023853098767E-5 8.76837509629E-10 1.255002686822E-7 -3.28828422632E-6 -1.31487247363E-4          .0000000          .0000000          .0000000          .0197885          .0880365
  ESLE60              SOL                           .0600000          .0000000          .4090542          .1254232         -.1498198         -.7407617          .0236928          .1014903 -8.42799941736E-7 5.570441991475E-6 -6.30857288579E-6 1.023847771795E-5 3.588421223978E-9 1.704073800296E-7 -4.73444398926E-6 -1.57744830986E-4          .0000000          .0000000          .0000000          .0236928          .1014903
  ECSLE65             MULT                          .0600000          .0100000          .4090542          .1254232         -.1498198         -.7407617          .0236928          .1014903 -8.42799941736E-7 5.570441991475E-6 -6.30857288579E-6 1.023847771795E-5 3.588421223968E-9 1.704073800292E-7 -4.73444398926E-6 -1.57744830986E-4          .0000000          .0000000          .0000000          .0236928          .1014903
  ESLE70              SOL                           .0700000          .0000000          .4123005          .1414733         -.1748111         -.8642405          .0275686          .1134495 -9.06376757696E-7 7.381474255876E-6 -6.36160302460E-6 1.023840830379E-5 7.278943145117E-9 2.234458878726E-7 -6.44308777454E-6 -1.83984246653E-4          .0000000          .0000000          .0000000          .0275686          .1134495
  ECSLE75             MULT                          .0700000          .0100000          .4123005          .1414733         -.1748111         -.8642405          .0275686          .1134495 -9.06376757696E-7 7.381474255876E-6 -6.36160302460E-6 1.023840830379E-5 7.278943145093E-9 2.234458878720E-7 -6.44308777454E-6 -1.83984246653E-4          .0000000          .0000000          .0000000          .0275686          .1134495
  ESLE80              SOL                           .0800000          .0000000          .4160466          .1599928         -.1998024         -.9877189          .0314118          .1240360 -9.70524183128E-7 9.454798960977E-6 -6.42274991587E-6 1.023832025165E-5 1.211061889335E-8 2.846013959782E-7 -8.41402281620E-6 -2.10203341965E-4          .0000000          .0000000          .0000000          .0314118          .1240360
  ECSLE85             MULT                          .0800000          .0100000          .4160466          .1599928         -.1998024         -.9877189          .0314118          .1240360 -9.70524183128E-7 9.454798960977E-6 -6.42274991587E-6 1.023832025165E-5 1.211061889330E-8 2.846013959769E-7 -8.41402281620E-6 -2.10203341965E-4          .0000000          .0000000          .0000000          .0314118          .1240360
  ESLE90              SOL                           .0900000          .0000000          .4202926          .1809820         -.2247936        -1.1111970          .0352182          .1333945 -1.03532319226E-6 1.179020145104E-5 -6.49199755424E-6 1.023821108184E-5 1.824527798684E-8 3.538578407808E-7 -1.06470340817E-5 -2.36399825831E-4          .0000000          .0000000          .0000000          .0352182          .1333945
  ECSLE95             MULT                          .0900000          .0100000          .4202926          .1809820         -.2247936        -1.1111970          .0352182          .1333945 -1.03532319226E-6 1.179020145104E-5 -6.49199755424E-6 1.023821108184E-5 1.824527798674E-8 3.538578407786E-7 -1.06470340817E-5 -2.36399825831E-4          .0000000          .0000000          .0000000          .0352182          .1333945
  ESLE100             SOL                           .1000000          .0000000          .4250384          .2044407         -.2497848        -1.2346747          .0389841          .1416722 -1.10085456079E-6 1.438744351607E-5 -6.56932808000E-6 1.023807832999E-5 2.584431480455E-8 4.311972558683E-7 -1.31418829334E-5 -2.62571278139E-4          .0000000          .0000000          .0000000          .0389841          .1416722
  ECSLE105            MULT                          .1000000          .0100000          .4250384          .2044407         -.2497848        -1.2346747          .0389841          .1416722 -1.10085456079E-6 1.438744351607E-5 -6.56932807999E-6 1.023807832999E-5 2.584431480436E-8 4.311972558646E-7 -1.31418829334E-5 -2.62571278139E-4          .0000000          .0000000          .0000000          .0389841          .1416722
  ESLE110             SOL                           .1100000          .0000000          .4302840          .2303690         -.2747758        -1.3581519          .0427060          .1490086 -1.16719884138E-6 1.724626229161E-5 -6.65472168683E-6 1.023791954912E-5 3.506863538046E-8 5.165996837931E-7 -1.58983060294E-5 -2.88715187761E-4          .0000000          .0000000          .0000000          .0427060          .1490086
  ECSLE115            MULT                          .1100000          .0100000          .4302840          .2303690         -.2747758        -1.3581519          .0427060          .1490086 -1.16719884138E-6 1.724626229161E-5 -6.65472168682E-6 1.023791954912E-5 3.506863538013E-8 5.165996837872E-7 -1.58983060294E-5 -2.88715187761E-4          .0000000          .0000000          .0000000          .0427060          .1490086
  ESLE120             SOL                           .1200000          .0000000          .4360295          .2587668         -.2997668        -1.4816286          .0463807          .1555290 -1.23443633663E-6 2.036636942055E-5 -6.74815651174E-6 1.023773231200E-5 4.607860099556E-8 6.100431779891E-7 -1.89160144849E-5 -3.14828966934E-4          .0000000          .0000000          .0000000          .0463807          .1555290
  ECSLE125            MULT                          .1200000          .0100000          .4360295          .2587668         -.2997668        -1.4816286          .0463807          .1555290 -1.23443633662E-6 2.036636942055E-5 -6.74815651173E-6 1.023773231200E-5 4.607860099501E-8 6.100431779800E-7 -1.89160144849E-5 -3.14828966934E-4          .0000000          .0000000          .0000000          .0463807          .1555290
  ESLE130             SOL                           .1300000          .0000000          .4422747          .2896341         -.3247576        -1.6051047          .0500053          .1613438 -1.30264707138E-6 2.374745013987E-5 -6.84960854246E-6 1.023751421274E-5 5.903396972117E-8 7.115035952816E-7 -2.21946929598E-5 -3.40909921882E-4          .0000000          .0000000          .0000000          .0500053          .1613438
  ECSLE135            MULT                          .1300000          .0100000          .4422747          .2896341         -.3247576        -1.6051047          .0500053          .1613438 -1.30264707138E-6 2.374745013987E-5 -6.84960854243E-6 1.023751421274E-5 5.903396972029E-8 7.115035952681E-7 -2.21946929598E-5 -3.40909921882E-4          .0000000          .0000000          .0000000          .0500053          .1613438
  ESLE140             SOL                           .1400000          .0000000          .4490198          .3229710         -.3497484        -1.7285802          .0535770          .1665485 -1.37191076390E-6 2.738916146213E-5 -6.95905148292E-6 1.023726287008E-5 7.409383174213E-8 8.209543725262E-7 -2.57339978408E-5 -3.66955101128E-4          .0000000          .0000000          .0000000          .0535770          .1665485
  ECSLE145            MULT                          .1400000          .0100000          .4490198          .3229710         -.3497484        -1.7285802          .0535770          .1665485 -1.37191076389E-6 2.738916146213E-5 -6.95905148288E-6 1.023726287008E-5 7.409383174075E-8 8.209543725065E-7 -2.57339978408E-5 -3.66955101128E-4          .0000000          .0000000          .0000000          .0535770          .1665485
  ESLE150             SOL                           .1500000          .0000000          .4562647          .3587774         -.3747389        -1.8520550          .0570935          .1712246 -1.44230679498E-6 3.129112942153E-5 -7.07645653881E-6 1.023697593015E-5 9.141653601744E-8 9.383663721340E-7 -2.95335544877E-5 -3.92961260101E-4          .0000000          .0000000          .0000000          .0570935          .1712246
  ECSLE155            MULT                          .1500000          .0100000          .4562647          .3587774         -.3747389        -1.8520550          .0570935          .1712246 -1.44230679497E-6 3.129112942153E-5 -7.07645653875E-6 1.023697593015E-5 9.141653601534E-8 9.383663721061E-7 -2.95335544877E-5 -3.92961260101E-4          .0000000          .0000000          .0000000          .0570935          .1712246
  ESLE160             SOL                           .1600000          .0000000          .4640093          .3970532         -.3997294        -1.9755292          .0605528          .1754419 -1.51391417975E-6 3.545294560105E-5 -7.20179217189E-6 1.023665106951E-5 1.111596125541E-7 1.063707873693E-6 -3.35929537613E-5 -4.18924752747E-4          .0000000          .0000000          .0000000          .0605528          .1754419
  ECSLE165            MULT                          .1600000          .0100000          .4640093          .3970532         -.3997294        -1.9755292          .0605528          .1754419 -1.51391417975E-6 3.545294560105E-5 -7.20179217181E-6 1.023665106951E-5 1.111596125510E-7 1.063707873654E-6 -3.35929537613E-5 -4.18924752747E-4          .0000000          .0000000          .0000000          .0605528          .1754419
  ESLE170             SOL                           .1700000          .0000000          .4722539          .4377986         -.4247197        -2.0990026          .0639530          .1792596 -1.58681154306E-6 3.987416251842E-5 -7.33502380205E-6 1.023628599914E-5 1.334796885073E-7 1.196944307893E-6 -3.79117474099E-5 -4.44841411666E-4          .0000000          .0000000          .0000000          .0639530          .1792596
