@ TYPE       %05s      "TWISS"
@ SEQUENCE   %05s      "SuperKEKB-HER"
@ PARTICLE   %05s      "ELECTRON"
@ OpticsFile %s       optics$file
@ PC         %le               7.0072900
@ PBUNCH     %le       4.010087045470E10
@ EX         %le       4.515219663690E-9
@ EY         %le       7.05100852702E-15
@ ALFA       %le       4.480779273154E-4
@ Q1         %le              45.5660791
@ Q2         %le              43.6154787
@ DATETIME   %08s     "06/19/2025 14:28:02"
* NAME                TYPENAME                             S                 L              BETX              BETY              ALFX              ALFY               MUX               MUY          DeltaMUX          DeltaMUY                EX               EPX                DX                DY               DPX               DPY                 X                PX                 Y                PY               R11               R12               R21               R22
$ %s                  %s                                 %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le               %le
  MQLB1LE             MONI                        55.2235731          .0000000        15.6049391       159.0501119        -3.1820964       -10.7609352          .9742467         1.3806861          .0338483          .0023456         -.3098723 1.765849673366E-5          .0111267 9.838239648317E-7 -2.85967864801E-7 7.803085479637E-9 -3.4790436342E-11 -2.3466281362E-12 3.075545396343E-7 -1.04850747962E-6 1.859898767321E-8 -5.93194614773E-8
  MQLB2LE             MONI                        60.0235180          .0000000       143.5030357        23.7268069       -21.1724271         9.0597164          .9918330         1.3920772          .0175863          .0113911         -.5461553 5.876353475209E-6         -.0555010 -2.80901663386E-6 -5.16888084549E-7 -5.39255068649E-8 -1.3371256573E-11 5.16471804686E-12 1.965166782780E-7 -1.25573809516E-6 -8.85169461108E-8 5.720191802231E-7
  MQLB3LE             MONI                        68.9853633          .0000000         1.2091645         6.4334704          .3052310          .7687423         1.1346345         1.7906517          .1428015          .3985745          .1051656 -6.62985056125E-6          .0864133 1.382589009426E-6 9.916310050993E-8 8.347995411413E-8 6.03055742613E-12 -1.6788199755E-13 7.291065151214E-8 1.078110670057E-7 -1.78679831719E-8 -9.92015574645E-9
  MQLB4LE             MONI                        77.1787307          .0000000        45.2477743        12.9132605         5.8743976        -4.3377854         1.4097070         2.0371848          .2750725          .2465330          .7242661 5.175251993242E-6         -.1109682 2.474743042615E-6 6.975297458901E-7 -1.06581626838E-7 5.22272515491E-12 1.10142505583E-12 8.680212998134E-8 6.198644513193E-7 3.408370379238E-8 2.572558713335E-7
  MQLX1LE1            MONI                        81.6354595          .0000000         8.4737110        82.0586345         2.3769348       -11.1769983         1.4462517         2.0590434          .0365448          .0218587          .2297098 1.620453764425E-5         -.1109682 2.474743546849E-6 2.225229500900E-7 -1.06581652321E-7 1.01314930192E-11 1.10142550131E-12 2.387017755001E-7 7.025544134735E-7 3.408304714064E-8 1.053563422316E-7
  MQLX2LE             MONI                        88.4954617          .0000000        10.8617752         1.2081960         1.5541326        -1.5337195         1.5777934         2.4446591          .1315417          .3856156         -.0706001 2.752659872941E-7         -.0143262 -2.38460972093E-6 -7.07549220532E-8 -1.70799923888E-8 -2.7514649815E-12 -2.4348598403E-12 4.537127097945E-9 7.854043488146E-8 -1.57111416987E-8 -1.36296620242E-8
  MQLX1LE2            MONI                        94.4554638          .0000000         4.5110739        90.4276460        -1.5494942        12.8318913         1.7831412         2.5279286          .2053477          .0832695         -.0773326 -1.22107124617E-5         -.0112539 1.445583542601E-6 -1.09687057325E-7 -2.72353581222E-8 -1.5094284954E-11 2.37936841162E-12 -2.07097502537E-7 5.100043779210E-7 2.773929402851E-8 -7.38060067301E-8
  MQLA2LE             MONI                        98.9121927          .0000000        33.2970499        12.4376005        -4.9094707         4.6674255         1.8423748         2.5491418          .0592336          .0212132         -.1274884 -5.76812132840E-6         -.0112539 1.445583713449E-6 -2.31068188494E-7 -2.72353610092E-8 -4.4900392998E-12 2.37936855674E-12 -8.34701852827E-8 5.530762694486E-7 2.773996299996E-8 -1.97433353530E-7
  MQLA3LE             MONI                       105.2001788          .0000000         4.6239918         3.0139330         -.1809386          .4089666         1.9275782         2.8007295          .0852034          .2515878          .0068881 -4.37362888197E-6          .0229215 1.550097248027E-6 -3.07995321453E-8 2.406859762533E-8 4.27338478872E-12 1.39383094629E-13 -3.10137196833E-8 9.999020138485E-8 2.532271691202E-9 -4.48409853841E-8
  MQLA4LE             MONI                       109.4681120          .0000000        10.2367613         6.5776051        -1.1341581        -1.2439508         2.0340809         3.0047503          .1065027          .2040207          .1047160 2.242110628091E-6          .0229215 1.550097247318E-6 7.192407875097E-8 2.406859762533E-8 4.86826509712E-12 1.39383094629E-13 -2.02061065461E-8 -5.15027312590E-9 2.532271691202E-9 -5.56485995928E-8
